index,data,is_discord
0,0.02,N
1,-0.22,N
2,0.02,N
3,-0.22,N
4,-0.02,N
5,-0.22,N
6,-0.02,N
7,-0.22,N
8,-0.02,N
9,-0.22,N
10,0.02,N
11,-0.22,N
12,-0.02,N
13,-0.22,N
14,0.02,N
15,-0.22,N
16,-0.02,N
17,-0.22,N
18,0.02,N
19,-0.22,N
20,0.02,N
21,-0.22,N
22,-0.02,N
23,-0.22,N
24,-0.02,N
25,-0.22,N
26,0.02,N
27,-0.22,N
28,0.02,N
29,-0.22,N
30,-0.02,N
31,-0.22,N
32,-0.02,N
33,-0.22,N
34,-0.02,N
35,-0.22,N
36,0.02,N
37,-0.22,N
38,-0.02,N
39,-0.22,N
40,-0.02,N
41,-0.22,N
42,0.02,N
43,-0.22,N
44,0.02,N
45,-0.22,N
46,-0.02,N
47,-0.22,N
48,0.02,N
49,-0.22,N
50,-0.02,N
51,-0.22,N
52,0.02,N
53,-0.22,N
54,-0.02,N
55,-0.22,N
56,-0.02,N
57,-0.22,N
58,0.02,N
59,-0.22,N
60,-0.02,N
61,-0.22,N
62,-0.02,N
63,-0.22,N
64,-0.02,N
65,-0.22,N
66,0.02,N
67,-0.22,N
68,-0.02,N
69,-0.22,N
70,-0.02,N
71,-0.22,N
72,0.02,N
73,-0.22,N
74,-0.02,N
75,-0.22,N
76,-0.02,N
77,-0.22,N
78,0.02,N
79,-0.22,N
80,-0.02,N
81,-0.22,N
82,-0.02,N
83,-0.22,N
84,-0.02,N
85,-0.22,N
86,-0.02,N
87,-0.22,N
88,-0.02,N
89,-0.22,N
90,-0.02,N
91,-0.22,N
92,-0.02,N
93,-0.22,N
94,0.02,N
95,-0.22,N
96,-0.02,N
97,-0.02,N
98,0.66,N
99,0.66,N
100,1.18,N
101,0.14,N
102,0.5,N
103,0.34,N
104,0.7,N
105,0.5,N
106,0.86,N
107,0.7,N
108,1.02,N
109,0.82,N
110,1.18,N
111,0.98,N
112,1.3,N
113,1.1,N
114,1.42,N
115,1.26,N
116,1.58,N
117,1.38,N
118,1.7,N
119,1.46,N
120,1.78,N
121,1.58,N
122,1.9,N
123,1.7,N
124,2.02,N
125,1.82,N
126,2.1,N
127,1.9,N
128,2.18,N
129,2.02,N
130,2.26,N
131,2.06,N
132,2.34,N
133,2.14,N
134,2.42,N
135,2.18,N
136,2.42,N
137,1.74,N
138,2.38,N
139,0.38,N
140,1.9,N
141,-0.06,N
142,1.54,N
143,0.9,N
144,1.18,N
145,0.98,N
146,1.26,N
147,1.06,N
148,1.38,N
149,1.14,N
150,1.42,N
151,1.26,N
152,1.54,N
153,1.18,N
154,1.7,N
155,1.46,N
156,1.82,N
157,1.62,N
158,2.14,N
159,1.82,N
160,2.22,N
161,2.06,N
162,2.42,N
163,2.26,N
164,2.62,N
165,2.46,N
166,2.82,N
